,0
const,-0.2244671039100935
count,-0.005614568745022242
solar_radiation,-0.0009827948721613192
heat_units,0.0012781749013889227
particle_size,-0.0005801991807906707
organic_matter,-0.017956266917013054
diameter^0.625,0.79379352752205
Drilled,0.7433829811243355
Blocks,0.28914091790217555
Superseedlings,0.3472946110050124
Plant Tape,-1.0043438496826376
Modules,-0.24083832192425525
Bare Roots,-0.3591034423347241
Conventional,-0.3217263330717096
Organic,0.34925921648272706
Baby,-0.25199998732111284
Fleece,0.3942530877240899
Poly,0.2888070023745771
Barley,0.39375093434968295
Batter,-0.729989105225464
Belton,-0.16671109955504526
Chiefton,0.11613422746530311
Defender,-0.8939544277787336
Comanche,-0.1836045364266447
Fencer,-0.21799772958499675
Galvani,0.4092498955538528
Gostar,-0.5248574040074635
Harston,0.15129320738822272
Krypton,0.8571406056788644
Lancaster,-0.4832226397555448
Lexton,-0.11678001777534275
Likestar,0.0780498544641891
Linkton,-0.18641701328796295
Longton,-0.5819670585462751
Nun 70406,0.7092959778033167
Oslo,-0.5640442416244669
Pluston,0.5706979248774383
Runner,-0.2645600312164637
Shafton,-0.017602523960486005
Spheros,-0.3757126098545726
Stromboli,0.7298997405450567
Sumstar,1.4103606557751436
Triton,0.05083124513798476
Volta,0.0
