field,variety,harvest_date,area_planted,area_harvested,conv_sales,baby_sales,leeks_harvested
Lords Ground 08,Shafton,04/08/2019,1.46,0.87,19242.6,0,119329
Lords Ground 08,Krypton,04/08/2019,5.38,5.45,133583.2,0,806312
Lords Ground Ambrose,Shafton,27/08/2020,1.07,1.16,31080,0,169513
Lords Ground Ambrose,Sumstar,27/08/2020,3.25,2.81,101521.8,0,480996
Lords Ground Ambrose,Fencer,27/08/2020,0.49,0.75,23550,0,120781
Lords Ground J4,Linkton,28/09/2020,1.9,1.42,39336,114.8,199760
Lords Ground J4,Krypton,28/09/2020,4.3,4.07,117823,851.9,544385
Markillies 1,Belton,08/02/2021,15,15.23,274346,1978.05,1573122
Markillies 2,Gostar,20/02/2021,6.85,6.27,106268,813.35,633020
Markillies College 1,Lancaster,02/03/2020,6.19,6.16,153323.2,1229.5,998283
Markillies College 2,Gostar,19/02/2020,5.71,6.11,189515.6,458.75,1193841
Markillies College 2,Likestar,19/02/2020,0.53,0,0,0,0
Markillies College 2,Chiefton,19/02/2020,2.55,2.44,71270.8,268.5,432116
Newlings 5,Lexton,02/04/2020,11.33,10.62,268944,662.35,1708648
Park Farm 0,Krypton,15/10/2019,5.38,5.07,167758,0,861726
Park Farm 28,Krypton,16/03/2020,1.82,2.1,66157,92.4,413749
Park Farm 28,Gostar,16/03/2020,2.35,1.66,55303.6,46.2,363075
Park Farm 28,Pluston,16/03/2020,6.11,5.72,145242.8,331.35,929629
Park Farm 36,Chiefton,16/12/2020,8.86,8.18,170022,3495.35,1137673
Park Farm 39,Chiefton,03/12/2020,10.47,2.25,63040,905.75,413191
Park Farm 47,Chiefton,28/12/2019,7.73,6.17,164622.6,490,1018413
Park Farm 47,Spheros,28/12/2019,1.86,1.92,43967.2,32.2,255238
Park Farm 48,Longton,26/12/2019,5.95,5.97,168528,788.75,1083283
Park Farm 50,Krypton,05/12/2019,3.28,3.25,107303,0,467664
Park Farm 53,Krypton,15/10/2020,4.99,4.96,197409,946.6,942039
Park Farm 55,Krypton,02/01/2021,8.82,8.97,289348.2,902.3,1475732
Park Farm 68,Spheros,05/11/2020,2.3,2.07,51992,984.1,335236
Park Farm 68,Krypton,05/11/2020,5.51,5.36,176452.4,1369,961805
RH34/35A,Chiefton,07/04/2021,11.24,8.21,146521.4,2101.55,932029
RH34/35A,Stromboli,07/04/2021,0.54,0.68,5327,0,33192
RH34/35A,Triton,07/04/2021,5.02,3.35,32446,88.2,165830
RH34/35A,Oslo,07/04/2021,1.02,1.69,20117,243.6,134112
RH34/35A,Likestar,07/04/2021,0.29,0,0,0,0
RH34/35A,Galvani,07/04/2021,0.56,0,0,0,0
RH34/35C,Harston,01/03/2021,3.1,3.14,92968.6,977.4,579203
