"Local Date","Local Time","Air temp 1","rh","Rainfall (mm)","sp5 Light","Windspeed Average mph","Windspeed Gust Max mph","Soil temp2","Bat Volt","Serial No.","Label","Name"
"07-04-23","21:00:01","5.3","98.5","0","0","7.95","4","7.9","013.1","2428","Weather Station","allpress"
"07-04-23","22:00:01","3.6","100","0","0","6.15","4","7.8","013.0","2428","Weather Station","allpress"
"07-04-23","23:00:01","3.6","100","0","0","0.45","1.5","7.7","013.0","2428","Weather Station","allpress"
"08-04-23","00:00:01","3.5","100","0","0","0.2","1.5","7.5","013.0","2428","Weather Station","allpress"
"08-04-23","01:00:01","2.7","100","0","0","0","0","7.3","013.0","2428","Weather Station","allpress"
"08-04-23","02:00:01","1.7","100","0","0","0","0","7.2","012.9","2428","Weather Station","allpress"
"08-04-23","03:00:01","0.5","100","0","0","0.15","2.5","6.9","012.9","2428","Weather Station","allpress"
"08-04-23","04:00:01","0","100","0","0","0","0","6.7","012.9","2428","Weather Station","allpress"
"08-04-23","05:00:01","-0.6","100","0","0","0.65","4","6.5","012.9","2428","Weather Station","allpress"
"08-04-23","06:00:01","-1.4","100","0","0","0.43","5","6.3","012.8","2428","Weather Station","allpress"
"08-04-23","07:00:01","-0.5","100","0","156.16","0.43","3.25","6.1","013.7","2428","Weather Station","allpress"
"08-04-23","08:00:01","3.8","100","0","536.8","1.75","4","5.9","013.8","2428","Weather Station","allpress"
"08-04-23","09:00:01","7.8","100","0","858.88","12.08","6.5","5.9","013.8","2428","Weather Station","allpress"
"08-04-23","10:00:01","8.4","88.2","0","512.4","12.45","7.5","5.9","013.8","2428","Weather Station","allpress"
"08-04-23","11:00:01","11","77.4","0","963.8","9.23","5.75","6","013.8","2428","Weather Station","allpress"
"08-04-23","12:00:01","12.4","71.2","0","1049.2","10.05","17.5","6.2","013.8","2428","Weather Station","allpress"
"08-04-23","13:00:01","12.3","70.3","0","495.32","11.68","8.25","6.4","013.8","2428","Weather Station","allpress"
"08-04-23","14:00:01","12.3","60.2","0","539.24","15.95","9","6.6","013.8","2428","Weather Station","allpress"
"08-04-23","15:00:01","13.4","57.1","0","570.96","24.2","22.5","6.8","013.8","2428","Weather Station","allpress"
"08-04-23","16:00:01","12.4","62.4","0","402.6","23.75","27.5","7.1","013.8","2428","Weather Station","allpress"
"08-04-23","17:00:01","13.8","58.2","0","395.28","18.83","14","7.2","013.8","2428","Weather Station","allpress"
"08-04-23","18:00:01","11","75","0","192.76","23.55","11.5","7.3","013.8","2428","Weather Station","allpress"
"08-04-23","19:00:01","9.7","78.7","0","75.64","17.48","9","7.4","013.3","2428","Weather Station","allpress"
