"Local Date","Local Time","Air temp 1","rh","Rainfall (mm)","sp5 Light","Windspeed Average mph","Windspeed Gust Max mph","Soil temp2","Bat Volt","Serial No.","Label","Name"
"16-03-23","18:00:01","11","87.1","0","4.88","23.2","12.5","6.6","013.1","2428","Weather Station","allpress"
"16-03-23","19:00:01","10.6","87.8","0","0","25.33","13.25","6.6","013.1","2428","Weather Station","allpress"
"16-03-23","20:00:01","10.8","88.2","0","0","16","9","6.6","013.1","2428","Weather Station","allpress"
"16-03-23","21:00:01","10.5","87","0","0","18.25","9","6.6","013.1","2428","Weather Station","allpress"
"16-03-23","22:00:01","10.4","87.5","0","0","19.15","10.75","6.7","013.1","2428","Weather Station","allpress"
"16-03-23","23:00:01","9.4","98.6","0","0","24.2","10.75","6.7","013.0","2428","Weather Station","allpress"
"17-03-23","00:00:01","9.3","99.5","0","0","15.43","9","6.7","013.0","2428","Weather Station","allpress"
"17-03-23","01:00:01","9.7","99.5","0","0","13.6","7.5","6.7","013.0","2428","Weather Station","allpress"
"17-03-23","02:00:01","9.7","100","0","0","13.6","7.5","6.7","013.0","2428","Weather Station","allpress"
"17-03-23","03:00:01","9.5","100","0","0","12.1","6.5","6.7","013.0","2428","Weather Station","allpress"
"17-03-23","04:00:01","8.6","100","0","0","10.23","5.75","6.7","012.9","2428","Weather Station","allpress"
"17-03-23","05:00:01","8.4","100","0","0","10.5","5.75","6.7","012.9","2428","Weather Station","allpress"
"17-03-23","06:00:01","8","100","0","0","12.75","6.5","6.7","012.9","2428","Weather Station","allpress"
"17-03-23","07:00:01","8.3","100","0","75.64","11.43","6.5","6.7","012.9","2428","Weather Station","allpress"
"17-03-23","08:00:01","9.5","100","0","212.28","11","6.5","6.7","013.5","2428","Weather Station","allpress"
"17-03-23","09:00:01","11.3","96.5","0","566.08","19.65","10","6.7","013.8","2428","Weather Station","allpress"
"17-03-23","10:00:01","11.7","95.1","0","307.44","23.6","16.5","6.8","013.8","2428","Weather Station","allpress"
"17-03-23","11:00:01","11.9","97.6","0","370.88","23.55","11.5","6.9","013.8","2428","Weather Station","allpress"
"17-03-23","12:00:01","11.2","100","0","131.76","18.65","10.75","7","013.4","2428","Weather Station","allpress"
"17-03-23","13:00:01","11.1","100","1","102.48","16.68","8.25","7.1","013.3","2428","Weather Station","allpress"
"17-03-23","14:00:01","11.7","100","0","192.76","19.98","14","7.2","013.7","2428","Weather Station","allpress"
"17-03-23","15:00:01","12.5","94.5","0","348.92","19.85","10.75","7.3","013.8","2428","Weather Station","allpress"
"17-03-23","16:00:01","13.4","88.5","0","336.72","22.28","11.5","7.4","013.8","2428","Weather Station","allpress"
"17-03-23","17:00:01","12.7","90.1","0","148.84","21.3","11.5","7.5","013.3","2428","Weather Station","allpress"
"17-03-23","18:00:01","10.4","97.4","0","9.76","10.68","7.5","7.6","013.1","2428","Weather Station","allpress"
"17-03-23","19:00:01","9","100","0","0","5.98","4","7.6","013.1","2428","Weather Station","allpress"
"17-03-23","20:00:01","8.5","100","0","0","10.33","5","7.6","013.1","2428","Weather Station","allpress"
"17-03-23","21:00:01","8.4","100","0","0","7.08","6.5","7.5","013.0","2428","Weather Station","allpress"
"17-03-23","22:00:01","9.1","99.8","0","0","17.33","9","7.4","013.0","2428","Weather Station","allpress"
"17-03-23","23:00:01","8.6","100","0","0","8.33","7.5","7.3","013.0","2428","Weather Station","allpress"
"18-03-23","00:00:01","8.8","100","1","0","22.03","12.5","7.2","013.0","2428","Weather Station","allpress"
"18-03-23","01:00:01","8.5","100","1","0","17.1","12.5","7.2","013.0","2428","Weather Station","allpress"
"18-03-23","02:00:01","7.6","100","0","0","12.23","7.5","7.2","013.0","2428","Weather Station","allpress"
"18-03-23","03:00:01","7.6","100","0","0","12.93","7.5","7.2","012.9","2428","Weather Station","allpress"
"18-03-23","04:00:01","7.1","100","0","0","8.03","6.5","7.2","012.9","2428","Weather Station","allpress"
"18-03-23","05:00:01","7.2","100","0","0","10.73","7.5","7.2","012.9","2428","Weather Station","allpress"
"18-03-23","06:00:01","7.2","100","0","0","8.05","5","7.1","012.9","2428","Weather Station","allpress"
"18-03-23","07:00:01","7.7","100","0","65.88","12.4","7.5","7.1","012.9","2428","Weather Station","allpress"
"18-03-23","08:00:01","8.8","100","0","78.08","14.68","8.25","7","013.1","2428","Weather Station","allpress"
"18-03-23","09:00:01","9.2","100","0","256.2","13.7","7.5","7.1","013.6","2428","Weather Station","allpress"
"18-03-23","10:00:01","10","100","0","278.16","17.05","8.25","7.1","013.7","2428","Weather Station","allpress"
"18-03-23","11:00:01","9.9","100","0","202.52","17.98","9","7.2","013.7","2428","Weather Station","allpress"
"18-03-23","12:00:01","11.6","94.5","0","688.08","15.28","7.5","7.2","013.8","2428","Weather Station","allpress"
"18-03-23","13:00:01","9.8","95","2","126.88","15.45","7.5","7.3","013.5","2428","Weather Station","allpress"
"18-03-23","14:00:01","10.2","97","1","400.16","12.05","7.5","7.4","013.8","2428","Weather Station","allpress"
"18-03-23","15:00:01","10.9","93.7","0","314.76","13.43","7.5","7.5","013.8","2428","Weather Station","allpress"
"18-03-23","16:00:01","10.6","95.3","0","146.4","16.18","8.25","7.6","013.5","2428","Weather Station","allpress"
"18-03-23","17:00:01","10.2","99.3","0","58.56","12","7.5","7.7","013.2","2428","Weather Station","allpress"
"18-03-23","18:00:01","9.9","100","0","4.88","6.93","5","7.7","013.1","2428","Weather Station","allpress"
"18-03-23","19:00:01","9.5","100","0","0","15.5","7.5","7.7","013.1","2428","Weather Station","allpress"
"18-03-23","20:00:01","8.4","100","1","0","16.53","8.25","7.7","013.1","2428","Weather Station","allpress"
"18-03-23","21:00:01","8.5","100","0","0","10.03","6.5","7.7","013.0","2428","Weather Station","allpress"
"18-03-23","22:00:01","8.4","100","0","0","6","7.5","7.6","013.0","2428","Weather Station","allpress"
"18-03-23","23:00:01","8.3","100","0","0","12.25","6.5","7.6","013.0","2428","Weather Station","allpress"
"19-03-23","00:00:01","8.6","100","0","0","17.9","10","7.5","013.0","2428","Weather Station","allpress"
"19-03-23","01:00:01","7.2","98","0","0","32.08","16.5","7.5","012.9","2428","Weather Station","allpress"
"19-03-23","02:00:01","6.1","98.5","1","0","29.48","16.5","7.5","012.9","2428","Weather Station","allpress"
"19-03-23","03:00:01","5.7","98.6","1","0","19.85","10","7.4","012.9","2428","Weather Station","allpress"
"19-03-23","04:00:01","5.6","98.4","0","0","17.98","9","7.3","012.9","2428","Weather Station","allpress"
"19-03-23","05:00:01","5.3","96.7","0","0","16.4","9","7.2","012.9","2428","Weather Station","allpress"
"19-03-23","06:00:01","5.2","99.6","0","0","16.9","8.25","7.2","012.9","2428","Weather Station","allpress"
"19-03-23","07:00:01","5.2","98.9","0","107.36","20.23","10","7.1","013.0","2428","Weather Station","allpress"
