,Local Date,Local Time,Air temp 1,rh,Rainfall (mm),sp5 Light,Windspeed Average mph,Windspeed Gust Max mph,Soil temp2,Bat Volt,Serial No.,Label,Name
0,29-03-24,19:00:01,9.9,79.0,0,0.0,17.08,11.5,8.0,13.1,2428,Weather Station,allpress
1,29-03-24,20:00:01,8.0,84.3,0,0.0,15.7,8.25,8.0,13.1,2428,Weather Station,allpress
2,29-03-24,21:00:01,6.9,88.0,0,0.0,16.83,9.0,8.0,13.0,2428,Weather Station,allpress
3,29-03-24,22:00:01,6.6,93.5,0,0.0,13.5,7.5,8.0,13.0,2428,Weather Station,allpress
4,29-03-24,23:00:01,6.2,96.4,0,0.0,17.35,9.0,7.9,13.0,2428,Weather Station,allpress
5,30-03-24,00:00:01,5.5,99.5,0,0.0,12.43,6.5,7.9,13.0,2428,Weather Station,allpress
6,30-03-24,01:00:01,5.7,100.0,0,0.0,11.75,6.5,7.8,12.9,2428,Weather Station,allpress
7,30-03-24,02:00:01,4.5,100.0,0,0.0,10.6,7.5,7.8,12.9,2428,Weather Station,allpress
8,30-03-24,03:00:01,4.0,100.0,0,0.0,1.03,3.25,7.7,12.9,2428,Weather Station,allpress
9,30-03-24,04:00:01,3.8,100.0,0,0.0,6.7,5.0,7.6,12.9,2428,Weather Station,allpress
10,30-03-24,05:00:01,2.9,100.0,0,0.0,3.28,4.0,7.5,12.8,2428,Weather Station,allpress
11,30-03-24,06:00:01,3.0,100.0,0,17.08,0.28,4.0,7.5,12.8,2428,Weather Station,allpress
12,30-03-24,07:00:01,4.3,100.0,0,222.04,0.0,0.0,7.3,13.2,2428,Weather Station,allpress
13,30-03-24,08:00:01,6.5,100.0,0,346.48,9.03,5.75,7.2,13.7,2428,Weather Station,allpress
14,30-03-24,09:00:02,8.8,94.8,0,631.96,14.5,7.5,7.2,13.8,2428,Weather Station,allpress
15,30-03-24,10:00:01,11.2,85.2,0,893.04,15.48,7.5,7.2,13.8,2428,Weather Station,allpress
16,30-03-24,11:00:01,11.6,68.5,0,1163.88,16.8,9.0,7.3,13.8,2428,Weather Station,allpress
17,30-03-24,12:00:01,13.7,63.2,0,1410.32,17.15,10.0,7.4,13.8,2428,Weather Station,allpress
18,30-03-24,13:00:01,14.1,52.4,0,1471.32,18.7,10.0,7.6,13.8,2428,Weather Station,allpress
19,30-03-24,14:00:01,14.4,46.4,0,1173.64,18.68,10.75,7.8,13.8,2428,Weather Station,allpress
20,30-03-24,15:00:01,14.6,47.4,0,990.64,16.73,11.5,7.9,13.8,2428,Weather Station,allpress
