"Local Date","Local Time","Air temp 1","rh","Rainfall (mm)","sp5 Light","Windspeed Average mph","Windspeed Gust Max mph","Soil temp2","Bat Volt","Serial No.","Label","Name"
"15-06-23","14:00:01","26.9","38.9","0","688.08","12.15","10.75","13.6","013.9","2428","Weather Station","allpress"
"15-06-23","15:00:01","25.2","46","0","500.2","13.7","10","13.8","013.9","2428","Weather Station","allpress"
"15-06-23","16:00:01","26.2","44.2","0","583.16","20.33","11.5","14.1","013.9","2428","Weather Station","allpress"
"15-06-23","17:00:01","25.8","40.6","0","585.6","14.3","10.75","14.1","013.9","2428","Weather Station","allpress"
"15-06-23","18:00:01","23.9","45.6","0","336.72","18.6","12.5","14.3","013.9","2428","Weather Station","allpress"
"15-06-23","19:00:01","23.7","50.9","0","346.48","16.53","10","14.4","013.8","2428","Weather Station","allpress"
"15-06-23","20:00:01","21.9","54.2","0","168.36","17.58","10","14.5","013.5","2428","Weather Station","allpress"
"15-06-23","21:00:01","17.7","65.6","0","26.84","13.8","9","14.5","013.1","2428","Weather Station","allpress"
"15-06-23","22:00:01","14.7","73.9","0","0","6.08","12.5","14.5","013.0","2428","Weather Station","allpress"
"15-06-23","23:00:01","12.7","87.1","0","0","1.53","10","14.4","013.0","2428","Weather Station","allpress"
"16-06-23","00:00:01","11.7","92.4","0","0","0","0","14.1","013.0","2428","Weather Station","allpress"
"16-06-23","01:00:01","9.9","95.2","0","0","0","0","14","013.0","2428","Weather Station","allpress"
"16-06-23","02:00:01","9.2","100","0","0","0","0","13.7","012.9","2428","Weather Station","allpress"
"16-06-23","03:00:01","9.5","97.6","0","0","0","0","13.5","012.9","2428","Weather Station","allpress"
"16-06-23","04:00:01","8.2","99.7","0","0","0","0","13.3","012.9","2428","Weather Station","allpress"
"16-06-23","05:00:01","7.7","100","0","46.36","0","0","13.1","012.9","2428","Weather Station","allpress"
"16-06-23","06:00:01","10.8","100","0","356.24","0","0","12.9","013.8","2428","Weather Station","allpress"
"16-06-23","07:00:01","14.2","90.9","0","736.88","0.18","2.5","12.7","013.8","2428","Weather Station","allpress"
"16-06-23","08:00:01","18.1","73","0","1083.36","3.85","4","12.6","013.8","2428","Weather Station","allpress"
"16-06-23","09:00:01","20.5","52.4","0","1324.92","7.55","5.75","12.6","013.8","2428","Weather Station","allpress"
"16-06-23","10:00:01","22.1","47","0","1525","7.78","6.5","12.6","013.9","2428","Weather Station","allpress"
"16-06-23","11:00:01","24.9","40.3","0","1603.08","8.55","7.5","12.8","013.9","2428","Weather Station","allpress"
"16-06-23","12:00:01","24.3","33","0","1625.04","15.65","10.75","13","013.9","2428","Weather Station","allpress"
"16-06-23","13:00:01","26.3","33.1","0","1564.04","16.58","10.75","13.2","013.9","2428","Weather Station","allpress"
"16-06-23","14:00:01","26.2","32","0","1451.8","13.6","12.5","13.4","013.9","2428","Weather Station","allpress"
"16-06-23","15:00:01","26.4","28.9","0","1271.24","13.28","10","13.6","013.9","2428","Weather Station","allpress"
"16-06-23","16:00:01","27.5","25.3","0","1058.96","16.55","12.5","13.8","013.9","2428","Weather Station","allpress"
"16-06-23","17:00:01","26.2","26.2","0","800.32","9.15","9","14","013.9","2428","Weather Station","allpress"
"16-06-23","18:00:01","26.1","29.3","0","570.96","12.23","8.25","14.1","013.9","2428","Weather Station","allpress"
"16-06-23","19:00:01","23.8","32.8","0","326.96","19.45","10","14.1","013.7","2428","Weather Station","allpress"
"16-06-23","20:00:01","19.9","49.2","0","146.4","15.3","9","14.2","013.5","2428","Weather Station","allpress"
"16-06-23","21:00:01","16.6","54.8","0","21.96","15.45","16.5","14.2","013.1","2428","Weather Station","allpress"
"16-06-23","22:00:01","13","73.4","0","0","6.55","10.75","14.2","013.0","2428","Weather Station","allpress"
"16-06-23","23:00:01","10.4","85.8","0","0","0","0","14.1","013.0","2428","Weather Station","allpress"
"17-06-23","00:00:01","11","81.3","0","0","0","0","13.9","013.0","2428","Weather Station","allpress"
"17-06-23","01:00:01","10.1","86.3","0","0","0.23","3.25","13.7","013.0","2428","Weather Station","allpress"
"17-06-23","02:00:01","8.3","85.8","0","0","0","1.5","13.5","012.9","2428","Weather Station","allpress"
"17-06-23","03:00:01","8.1","94.7","0","0","0","0","13.2","012.9","2428","Weather Station","allpress"
"17-06-23","04:00:01","6.6","99.6","0","0","0","0","13","012.8","2428","Weather Station","allpress"
"17-06-23","05:00:01","5.9","100","0","39.04","0","0","12.7","012.9","2428","Weather Station","allpress"
"17-06-23","06:00:01","8.5","100","0","346.48","0","0","12.5","013.8","2428","Weather Station","allpress"
"17-06-23","07:00:02","13.4","78","0","563.64","2.75","5","12.3","013.8","2428","Weather Station","allpress"
"17-06-23","08:00:01","16","61.7","0","678.32","4.65","4","12.2","013.8","2428","Weather Station","allpress"
"17-06-23","09:00:01","17.6","56.3","0","519.72","9.15","5","12.2","013.8","2428","Weather Station","allpress"
"17-06-23","10:00:01","20.7","52.6","0","978.44","11.4","5.75","12.3","013.8","2428","Weather Station","allpress"
"17-06-23","11:00:01","22.1","43.9","0","1032.12","15.15","8.25","12.4","013.8","2428","Weather Station","allpress"
"17-06-23","12:00:01","23.7","42.5","0","1029.68","17.93","10","12.5","013.9","2428","Weather Station","allpress"
"17-06-23","13:00:01","22.9","43.9","0","641.72","15.73","9","12.8","013.9","2428","Weather Station","allpress"
"17-06-23","14:00:01","24.9","39","0","1388.36","13.33","7.5","13","013.9","2428","Weather Station","allpress"
"17-06-23","15:00:01","24.2","38.9","0","980.88","14.28","10","13.1","013.9","2428","Weather Station","allpress"
"17-06-23","16:00:01","23.4","42.4","0","685.64","15","9","13.3","013.9","2428","Weather Station","allpress"
"17-06-23","17:00:01","23.5","41.4","0","697.84","18.45","10.75","13.5","013.9","2428","Weather Station","allpress"
"17-06-23","18:00:01","22.7","42.3","0","507.52","18.4","9","13.6","013.9","2428","Weather Station","allpress"
"17-06-23","19:00:01","21.1","45.2","0","236.68","18.23","10","13.7","013.9","2428","Weather Station","allpress"
"17-06-23","20:00:01","19.3","54.8","0","122","7.75","7.5","13.8","013.7","2428","Weather Station","allpress"
"17-06-23","21:00:01","16.9","63.9","0","21.96","2.4","5","13.9","013.1","2428","Weather Station","allpress"
"17-06-23","22:00:01","15.7","64.7","0","0","1.6","5","13.9","013.0","2428","Weather Station","allpress"
"17-06-23","23:00:01","13.8","80.1","0","0","0.4","3.25","13.8","013.0","2428","Weather Station","allpress"
"18-06-23","00:00:01","13","84.1","0","0","0.2","3.25","13.7","013.0","2428","Weather Station","allpress"
"18-06-23","01:00:01","14","80.3","0","0","5.28","5","13.6","013.0","2428","Weather Station","allpress"
"18-06-23","02:00:01","13","90.3","0","0","9.05","15","13.5","012.9","2428","Weather Station","allpress"
"18-06-23","03:00:01","12.4","94.6","0","0","9.05","11.5","13.5","012.9","2428","Weather Station","allpress"
"18-06-23","04:00:01","11.4","97.9","0","0","0","0","13.4","012.9","2428","Weather Station","allpress"
"18-06-23","05:00:01","11.6","100","0","14.64","0.05","6.5","13.3","012.9","2428","Weather Station","allpress"
"18-06-23","06:00:01","12.9","100","0","75.64","1.93","7.5","13.2","012.9","2428","Weather Station","allpress"
"18-06-23","07:00:01","14","96.2","0","178.12","2.15","3.25","13.1","013.3","2428","Weather Station","allpress"
"18-06-23","08:00:01","16.2","88.1","0","305","3.58","4","13.1","013.8","2428","Weather Station","allpress"
"18-06-23","09:00:01","18.6","80.2","0","619.76","1.68","4","13.1","013.8","2428","Weather Station","allpress"
"18-06-23","10:00:01","22.5","66","0","1322.48","6.23","5.75","13.2","013.8","2428","Weather Station","allpress"
"18-06-23","11:00:01","24.9","63.1","0","1300.52","9.15","7.5","13.3","013.9","2428","Weather Station","allpress"
"18-06-23","12:00:01","25.3","57.1","0","1424.96","11.3","8.25","13.5","013.9","2428","Weather Station","allpress"
"18-06-23","13:00:01","26.3","53.4","0","1032.12","15.23","13.25","13.6","013.9","2428","Weather Station","allpress"
"18-06-23","14:00:01","25.8","55.7","0","492.88","12.6","8.25","13.9","013.9","2428","Weather Station","allpress"
"18-06-23","15:00:01","25.9","59.1","0","607.56","13.45","9","14.1","013.9","2428","Weather Station","allpress"
"18-06-23","16:00:01","22.6","64.2","0","29.28","13.1","15.75","14.3","013.5","2428","Weather Station","allpress"
"18-06-23","17:00:01","19.8","93.1","4","163.48","10.68","30","14.5","013.8","2428","Weather Station","allpress"
"18-06-23","18:00:01","19.1","94.7","2","58.56","0.48","5","14.6","013.2","2428","Weather Station","allpress"
"18-06-23","19:00:01","19.7","96.9","1","146.4","0.43","5","14.6","013.6","2428","Weather Station","allpress"
"18-06-23","20:00:01","18.9","94.3","0","46.36","7.8","6.5","14.6","013.3","2428","Weather Station","allpress"
"18-06-23","21:00:01","18","98.2","1","2.44","3.73","5","14.7","013.0","2428","Weather Station","allpress"
"18-06-23","22:00:01","17.2","100","1","0","2.93","5.75","14.7","013.0","2428","Weather Station","allpress"
"18-06-23","23:00:01","17.4","100","0","0","5.28","5.75","14.7","013.0","2428","Weather Station","allpress"
"19-06-23","00:00:01","16.7","100","0","0","3.95","8.25","14.6","013.0","2428","Weather Station","allpress"
"19-06-23","01:00:01","16.1","100","0","0","3.68","6.5","14.6","013.0","2428","Weather Station","allpress"
"19-06-23","02:00:01","14.9","100","0","0","1.35","5","14.6","013.0","2428","Weather Station","allpress"
"19-06-23","03:00:01","14.1","100","0","0","1.48","5","14.6","012.9","2428","Weather Station","allpress"
"19-06-23","04:00:01","14","100","0","0","1.48","4","14.6","012.9","2428","Weather Station","allpress"
"19-06-23","05:00:01","14.1","100","0","24.4","7.73","10","14.5","012.9","2428","Weather Station","allpress"
"19-06-23","06:00:01","14.3","100","0","207.4","2.6","5.75","14.4","013.5","2428","Weather Station","allpress"
"19-06-23","07:00:01","15.7","100","0","746.64","5.58","8.25","14.4","013.8","2428","Weather Station","allpress"
"19-06-23","08:00:01","17.4","92.5","0","1005.28","9.7","7.5","14.3","013.8","2428","Weather Station","allpress"
"19-06-23","09:00:01","19.2","82.6","0","1342","16.35","11.5","14.3","013.8","2428","Weather Station","allpress"
"19-06-23","10:00:01","20.6","72.6","0","1593.32","17.98","11.5","14.3","013.8","2428","Weather Station","allpress"
"19-06-23","11:00:01","22","65.7","0","1737.28","19.85","12.5","14.4","013.9","2428","Weather Station","allpress"
"19-06-23","12:00:01","21.1","69","0","531.92","19.98","13.25","14.6","013.9","2428","Weather Station","allpress"
"19-06-23","13:00:01","22.9","60.8","0","702.72","17.7","10.75","14.6","013.9","2428","Weather Station","allpress"
"19-06-23","14:00:01","23.8","58.4","0","1761.68","13.3","10.75","14.8","013.9","2428","Weather Station","allpress"
"19-06-23","15:00:01","25","49.7","0","1586","15.3","11.5","14.9","013.9","2428","Weather Station","allpress"
"19-06-23","16:00:01","24.5","51.5","0","651.48","13.03","9","15.1","013.9","2428","Weather Station","allpress"
"19-06-23","17:00:01","25","51.2","0","885.72","15.23","10.75","15.2","013.9","2428","Weather Station","allpress"
"19-06-23","18:00:01","24.1","50.8","0","522.16","15.23","12.5","15.2","013.9","2428","Weather Station","allpress"
"19-06-23","19:00:01","23.1","54","0","231.8","10.25","9","15.3","013.7","2428","Weather Station","allpress"
"19-06-23","20:00:01","22.2","60.4","0","163.48","7.98","6.5","15.4","013.5","2428","Weather Station","allpress"
"19-06-23","21:00:01","19.6","70.4","0","29.28","4.43","5","15.4","013.1","2428","Weather Station","allpress"
"19-06-23","22:00:01","16.8","83.2","0","0","0.98","4","15.4","013.1","2428","Weather Station","allpress"
"19-06-23","23:00:01","15.5","90.6","0","0","0.5","3.25","15.3","013.0","2428","Weather Station","allpress"
"20-06-23","00:00:01","14.2","96.4","0","0","0","1.5","15.2","013.0","2428","Weather Station","allpress"
"20-06-23","01:00:01","13.5","98.4","0","0","0.05","2.5","15.1","013.0","2428","Weather Station","allpress"
