"Local Date","Local Time","Air temp 1","rh","Rainfall (mm)","sp5 Light","Windspeed Average mph","Windspeed Gust Max mph","Soil temp2","Bat Volt","Serial No.","Label","Name"
"06-06-22","15:00:01","11.2","97.3","0","134.2","11.15","8.25","11","013.6","2428","Weather Station","allpress"
"06-06-22","16:00:01","13.4","90.4","0","678.32","4.18","5.75","11","013.8","2428","Weather Station","allpress"
"06-06-22","17:00:01","13.2","87","0","356.24","12.08","9","11","013.8","2428","Weather Station","allpress"
"06-06-22","18:00:01","14.1","83.9","0","507.52","13.9","14","11.1","013.8","2428","Weather Station","allpress"
"06-06-22","19:00:01","13.5","86.7","0","163.48","6.68","6.5","11.1","013.7","2428","Weather Station","allpress"
"06-06-22","20:00:01","13","90.8","0","90.28","2.15","6.5","11.2","013.4","2428","Weather Station","allpress"
"06-06-22","21:00:01","12.4","94.3","0","7.32","0","0","11.3","013.2","2428","Weather Station","allpress"
"06-06-22","22:00:01","11.9","97","0","0","0.03","3.25","11.3","013.1","2428","Weather Station","allpress"
"06-06-22","23:00:01","11.3","99.5","0","0","0.43","7.5","11.3","013.1","2428","Weather Station","allpress"
"07-06-22","00:00:01","11","100","0","0","0.23","6.5","11.2","013.1","2428","Weather Station","allpress"
"07-06-22","01:00:01","10.8","100","0","0","1","5","11.2","013.1","2428","Weather Station","allpress"
"07-06-22","02:00:01","10.7","100","0","0","0","0","11.2","013.0","2428","Weather Station","allpress"
"07-06-22","03:00:01","10.4","100","0","0","0","0","11.2","013.0","2428","Weather Station","allpress"
"07-06-22","04:00:01","9.6","100","0","0","0","0","11.1","013.0","2428","Weather Station","allpress"
"07-06-22","05:00:01","9","100","0","24.4","0","0","11","012.9","2428","Weather Station","allpress"
"07-06-22","06:00:01","9.5","100","0","331.84","0","0.75","10.8","013.5","2428","Weather Station","allpress"
"07-06-22","07:00:01","11.4","100","0","719.8","1.43","6.5","10.7","013.8","2428","Weather Station","allpress"
"07-06-22","08:00:01","13.2","84","0","1107.76","13.3","26.5","10.7","013.8","2428","Weather Station","allpress"
"07-06-22","09:00:01","14.9","72.4","0","1254.16","13.48","23.25","10.7","013.8","2428","Weather Station","allpress"
"07-06-22","10:00:02","16.7","66.4","0","1534.76","12.18","20","10.8","013.8","2428","Weather Station","allpress"
"07-06-22","11:00:01","18","63.9","0","1727.52","9.03","7.5","10.8","013.8","2428","Weather Station","allpress"
"07-06-22","12:00:01","18","58.9","0","797.88","9.08","14","11","013.8","2428","Weather Station","allpress"
"07-06-22","13:00:01","20.2","57.8","0","1676.28","6.28","10","11.3","013.8","2428","Weather Station","allpress"
"07-06-22","14:00:01","20.6","54.6","0","1681.16","7.75","14","11.4","013.9","2428","Weather Station","allpress"
"07-06-22","15:00:01","19.5","60.7","0","568.52","6.93","9","11.6","013.9","2428","Weather Station","allpress"
"07-06-22","16:00:01","23.4","50.8","0","1193.16","7.2","12.5","11.8","013.9","2428","Weather Station","allpress"
"07-06-22","17:00:01","21.2","50.9","0","244","3.93","6.5","11.9","013.9","2428","Weather Station","allpress"
"07-06-22","18:00:01","20.6","54.7","0","297.68","8.78","9","12.1","013.9","2428","Weather Station","allpress"
"07-06-22","19:00:01","22.2","56.5","0","417.24","10.48","16.5","12.2","013.9","2428","Weather Station","allpress"
"07-06-22","20:00:01","19.1","68.2","0","114.68","11.48","15","12.3","013.4","2428","Weather Station","allpress"
"07-06-22","21:00:01","16.6","85.6","0","7.32","14.9","9","12.3","013.2","2428","Weather Station","allpress"
"07-06-22","22:00:01","15.2","95.7","0","0","8.15","8.25","12.4","013.1","2428","Weather Station","allpress"
"07-06-22","23:00:01","15.4","95.1","0","0","5.05","5","12.4","013.1","2428","Weather Station","allpress"
"08-06-22","00:00:01","15.6","94.2","0","0","9.4","6.5","12.4","013.1","2428","Weather Station","allpress"
"08-06-22","01:00:01","14.7","93.6","0","0","11.05","7.5","12.4","013.1","2428","Weather Station","allpress"
"08-06-22","02:00:01","13.1","99.2","0","0","9","6.5","12.4","013.1","2428","Weather Station","allpress"
"08-06-22","03:00:01","12.9","100","0","0","7.78","8.25","12.3","013.1","2428","Weather Station","allpress"
"08-06-22","04:00:01","13","100","1","0","9.43","5.75","12.3","013.0","2428","Weather Station","allpress"
"08-06-22","05:00:01","13.1","100","1","0","9.9","5.75","12.2","013.0","2428","Weather Station","allpress"
"08-06-22","06:00:01","13.2","100","1","36.6","11.9","7.5","12.2","013.0","2428","Weather Station","allpress"
"08-06-22","07:00:01","13.8","100","0","80.52","12.45","7.5","12.2","013.2","2428","Weather Station","allpress"
"08-06-22","08:00:01","15.7","100","0","1098","9.33","12.5","12.2","013.8","2428","Weather Station","allpress"
"08-06-22","09:00:01","16.7","83.5","0","446.52","16.78","11.5","12.2","013.8","2428","Weather Station","allpress"
"08-06-22","10:00:01","18.1","76.4","0","431.88","20.45","18.25","12.3","013.8","2428","Weather Station","allpress"
"08-06-22","11:00:01","18.3","67.1","0","851.56","20.8","28.25","12.4","013.8","2428","Weather Station","allpress"
"08-06-22","12:00:01","19.8","62.6","0","1810.48","23.23","24","12.5","013.8","2428","Weather Station","allpress"
"08-06-22","13:00:01","18.7","64.1","0","527.04","25.3","22.5","12.6","013.8","2428","Weather Station","allpress"
"08-06-22","14:00:01","21.2","54","0","1815.36","27.03","24","12.8","013.9","2428","Weather Station","allpress"
"08-06-22","15:00:01","18.6","60.4","0","356.24","32.95","25","12.9","013.9","2428","Weather Station","allpress"
"08-06-22","16:00:01","20.9","50.2","0","1251.72","30.93","15.75","13","013.9","2428","Weather Station","allpress"
"08-06-22","17:00:01","20.8","46","0","907.68","30.68","15.75","13","013.9","2428","Weather Station","allpress"
"08-06-22","18:00:01","17.5","61","0","407.48","27.03","18.25","13","013.9","2428","Weather Station","allpress"
"08-06-22","19:00:01","18.6","65.7","0","590.48","21.33","12.5","13","013.9","2428","Weather Station","allpress"
"08-06-22","20:00:01","18.5","63.5","0","187.88","16.7","11.5","13","013.4","2428","Weather Station","allpress"
"08-06-22","21:00:01","16.1","71.3","0","26.84","11.83","10","13","013.2","2428","Weather Station","allpress"
"08-06-22","22:00:01","14","83","0","0","10.68","13.25","13","013.1","2428","Weather Station","allpress"
"08-06-22","23:00:01","12.7","82.9","0","0","17.05","10","12.9","013.1","2428","Weather Station","allpress"
"09-06-22","00:00:01","11.9","90.7","0","0","9","15","12.8","013.1","2428","Weather Station","allpress"
"09-06-22","01:00:01","12.2","92.5","0","0","8.4","6.5","12.7","013.1","2428","Weather Station","allpress"
"09-06-22","02:00:01","11.5","95.7","0","0","11.3","9","12.6","013.0","2428","Weather Station","allpress"
"09-06-22","03:00:01","10.5","97","0","0","12.55","13.25","12.5","013.0","2428","Weather Station","allpress"
"09-06-22","04:00:01","9.6","99.8","0","0","14.28","14","12.4","013.0","2428","Weather Station","allpress"
"09-06-22","05:00:01","9.1","100","0","41.48","11.15","13.25","12.4","013.0","2428","Weather Station","allpress"
"09-06-22","06:00:01","10.6","100","0","363.56","9.95","6.5","12.3","013.4","2428","Weather Station","allpress"
"09-06-22","07:00:01","12.5","90.9","0","719.8","13.9","10.75","12.2","013.8","2428","Weather Station","allpress"
"09-06-22","08:00:01","14.3","79.8","0","1054.08","22.08","23.25","12.1","013.8","2428","Weather Station","allpress"
"09-06-22","09:00:01","16.5","68.4","0","1324.92","19.85","10.75","12.1","013.8","2428","Weather Station","allpress"
"09-06-22","10:00:01","17.9","56","0","1632.36","23.23","16.5","12.2","013.8","2428","Weather Station","allpress"
"09-06-22","11:00:01","19.7","53.6","0","1912.96","27.53","22.5","12.3","013.8","2428","Weather Station","allpress"
"09-06-22","12:00:01","18","54.1","0","1261.48","28.58","18.25","12.4","013.9","2428","Weather Station","allpress"
"09-06-22","13:00:01","18.5","56.9","0","968.68","25.2","15","12.5","013.9","2428","Weather Station","allpress"
"09-06-22","14:00:01","17.9","59.7","0","490.44","23.23","37.5","12.6","013.9","2428","Weather Station","allpress"
"09-06-22","15:00:01","19.8","54.6","0","1363.96","25.83","32.5","12.7","013.9","2428","Weather Station","allpress"
"09-06-22","16:00:01","18.4","59.2","0","551.44","25.25","27.5","12.8","013.9","2428","Weather Station","allpress"
"09-06-22","17:00:01","17.8","64","0","431.88","20.7","12.5","12.9","013.9","2428","Weather Station","allpress"
"09-06-22","18:00:01","16.7","73.4","0","253.76","21.03","13.25","13","013.9","2428","Weather Station","allpress"
"09-06-22","19:00:01","16.8","70.4","0","236.68","14.95","10","13","013.8","2428","Weather Station","allpress"
"09-06-22","20:00:02","16.8","73","0","117.12","15.45","10","13","013.4","2428","Weather Station","allpress"
"09-06-22","21:00:02","16.7","77.8","0","19.52","16.58","11.5","13","013.2","2428","Weather Station","allpress"
"09-06-22","22:00:01","15.6","86.4","0","0","13.28","8.25","13","013.1","2428","Weather Station","allpress"
"09-06-22","23:00:01","14.3","90.1","0","0","9.83","9","13","013.1","2428","Weather Station","allpress"
"10-06-22","00:00:01","13.2","98.4","0","0","4.68","6.5","13","013.1","2428","Weather Station","allpress"
"10-06-22","01:00:01","14.1","100","0","0","8.18","5.75","12.9","013.1","2428","Weather Station","allpress"
"10-06-22","02:00:01","14.5","100","0","0","6.58","5.75","12.9","013.1","2428","Weather Station","allpress"
"10-06-22","03:00:01","14.8","100","0","0","8.6","7.5","12.8","013.0","2428","Weather Station","allpress"
"10-06-22","04:00:01","14.3","100","0","0","5.68","6.5","12.8","013.0","2428","Weather Station","allpress"
"10-06-22","05:00:01","14.1","99.1","0","14.64","6.9","5","12.8","013.0","2428","Weather Station","allpress"
"10-06-22","06:00:01","13.6","95.6","0","153.72","10.25","9","12.8","013.1","2428","Weather Station","allpress"
"10-06-22","07:00:01","15.2","89.8","0","678.32","12.2","10","12.8","013.8","2428","Weather Station","allpress"
"10-06-22","08:00:01","16.4","80.1","0","1032.12","22.05","16.5","12.8","013.8","2428","Weather Station","allpress"
"10-06-22","09:00:01","17.8","70.1","0","1415.2","23.93","15.75","12.8","013.8","2428","Weather Station","allpress"
"10-06-22","10:00:01","19.2","60.7","0","1795.84","26","17.5","12.9","013.8","2428","Weather Station","allpress"
"10-06-22","11:00:01","20.1","60","0","1986.16","25.53","16.5","13","013.8","2428","Weather Station","allpress"
"10-06-22","12:00:01","18.7","58.2","0","578.28","26.6","29","13","013.9","2428","Weather Station","allpress"
"10-06-22","13:00:01","21.1","47.3","0","588.04","30.23","32.5","13.2","013.9","2428","Weather Station","allpress"
"10-06-22","14:00:01","22.3","47.5","0","1900.76","29.1","18.25","13.3","013.9","2428","Weather Station","allpress"
"10-06-22","15:00:01","21.5","46","0","475.8","23.65","15.75","13.5","013.9","2428","Weather Station","allpress"
"10-06-22","16:00:01","23","44.6","0","1329.8","22.53","15","13.5","013.9","2428","Weather Station","allpress"
"10-06-22","17:00:01","21.8","46.4","0","461.16","23.05","22.5","13.6","013.9","2428","Weather Station","allpress"
"10-06-22","18:00:01","22.6","44.6","0","751.52","24.78","15.75","13.7","013.9","2428","Weather Station","allpress"
"10-06-22","19:00:01","21.8","46.4","0","409.92","23.98","15","13.8","013.9","2428","Weather Station","allpress"
"10-06-22","20:00:01","19.8","56","0","178.12","21.2","13.25","13.8","013.4","2428","Weather Station","allpress"
"10-06-22","21:00:01","17.4","67.3","0","26.84","17.6","14","13.8","013.2","2428","Weather Station","allpress"
"10-06-22","22:00:01","15.6","75.6","0","0","13.25","10.75","13.8","013.1","2428","Weather Station","allpress"
"10-06-22","23:00:01","13.7","84.6","0","0","8.1","6.5","13.7","013.1","2428","Weather Station","allpress"
"11-06-22","00:00:01","13.3","68.7","0","0","16.48","11.5","13.6","013.1","2428","Weather Station","allpress"
"11-06-22","01:00:01","11.3","80.7","0","0","10.43","9","13.5","013.1","2428","Weather Station","allpress"
"11-06-22","02:00:01","10.6","85.4","0","0","9.98","7.5","13.4","013.0","2428","Weather Station","allpress"
"11-06-22","03:00:01","10","90","0","0","11.48","10.75","13.2","013.0","2428","Weather Station","allpress"
"11-06-22","04:00:01","9","96.2","0","0","7.43","7.5","13","013.0","2428","Weather Station","allpress"
"11-06-22","05:00:01","8.3","100","0","46.36","0.93","3.25","12.9","012.9","2428","Weather Station","allpress"
"11-06-22","06:00:01","10.9","100","0","356.24","3.33","5","12.7","013.5","2428","Weather Station","allpress"
"11-06-22","07:00:01","13.4","89.3","0","712.48","9.7","8.25","12.5","013.8","2428","Weather Station","allpress"
"11-06-22","08:00:01","15.5","78.7","0","1032.12","20.65","15","12.4","013.8","2428","Weather Station","allpress"
"11-06-22","09:00:01","16.8","71.9","0","373.32","25.58","25","12.5","013.8","2428","Weather Station","allpress"
"11-06-22","10:00:01","18.4","62.5","0","1568.92","28.58","32.5","12.5","013.8","2428","Weather Station","allpress"
"11-06-22","11:00:01","19","55.7","0","1973.96","29.33","28.25","12.7","013.8","2428","Weather Station","allpress"
"11-06-22","12:00:01","20.9","52.1","0","1922.72","29.33","30","12.9","013.9","2428","Weather Station","allpress"
"11-06-22","13:00:01","21.2","48.5","0","2127.68","31.6","18.25","13","013.9","2428","Weather Station","allpress"
"11-06-22","14:00:01","20.5","43.5","0","541.68","31.45","21.5","13.1","013.9","2428","Weather Station","allpress"
"11-06-22","15:00:01","22.7","43.1","0","1683.6","32.83","35.75","13.3","013.9","2428","Weather Station","allpress"
"11-06-22","16:00:01","22.1","36.7","0","1385.92","35.03","25","13.4","013.9","2428","Weather Station","allpress"
"11-06-22","17:00:01","22.2","40.1","0","1200.48","36.6","26.5","13.5","013.9","2428","Weather Station","allpress"
"11-06-22","18:00:01","21.8","44.2","0","814.96","35.93","28.25","13.5","013.9","2428","Weather Station","allpress"
"11-06-22","19:00:01","20.8","41.8","0","439.2","32.95","16.5","13.6","013.9","2428","Weather Station","allpress"
"11-06-22","20:00:01","19.4","47","0","202.52","26.08","16.5","13.6","013.4","2428","Weather Station","allpress"
"11-06-22","21:00:01","16.9","55.2","0","34.16","15.75","10.75","13.6","013.2","2428","Weather Station","allpress"
"11-06-22","22:00:01","13.5","71.7","0","0","11.2","10","13.5","013.1","2428","Weather Station","allpress"
"11-06-22","23:00:01","12.3","80.2","0","0","6.28","5.75","13.5","013.1","2428","Weather Station","allpress"
"12-06-22","00:00:01","11.1","86.5","0","0","6.95","6.5","13.4","013.1","2428","Weather Station","allpress"
"12-06-22","01:00:01","10.5","91.2","0","0","7.55","5.75","13.2","013.0","2428","Weather Station","allpress"
"12-06-22","02:00:01","10.8","88.4","0","0","11.53","9","13","013.0","2428","Weather Station","allpress"
"12-06-22","03:00:01","9.1","98.4","0","0","4.95","4","13","013.0","2428","Weather Station","allpress"
"12-06-22","04:00:01","8.5","100","0","0","5.35","6.5","12.8","012.9","2428","Weather Station","allpress"
"12-06-22","05:00:01","8.7","100","0","43.92","6.83","5","12.6","012.9","2428","Weather Station","allpress"
"12-06-22","06:00:01","10.3","99.1","0","353.8","5.3","5.75","12.4","013.4","2428","Weather Station","allpress"
"12-06-22","07:00:01","12.4","85.7","0","719.8","18.53","10.75","12.4","013.8","2428","Weather Station","allpress"
"12-06-22","08:00:01","14.5","77.5","0","1037","23.6","20","12.4","013.8","2428","Weather Station","allpress"
"12-06-22","09:00:01","16.3","67.8","0","1378.6","23.58","19","12.4","013.8","2428","Weather Station","allpress"
"12-06-22","10:00:01","18","58.4","0","1700.68","25.35","15.75","12.4","013.8","2428","Weather Station","allpress"
"12-06-22","11:00:01","17.2","52.5","0","575.84","29.28","14","12.6","013.8","2428","Weather Station","allpress"
"12-06-22","12:00:01","18.2","53.9","0","834.48","29.45","40","12.7","013.8","2428","Weather Station","allpress"
"12-06-22","13:00:01","18.5","48.4","0","1983.72","26.6","16.5","12.8","013.9","2428","Weather Station","allpress"
"12-06-22","14:00:01","18.6","49.5","0","558.76","24.2","13.25","13","013.9","2428","Weather Station","allpress"
"12-06-22","15:00:01","19.4","44.7","0","1080.92","27.45","15.75","13","013.9","2428","Weather Station","allpress"
"12-06-22","16:00:01","18.9","47.8","0","602.68","32.9","28.25","13.1","013.9","2428","Weather Station","allpress"
"12-06-22","17:00:01","20.1","43.6","0","893.04","28.98","15.75","13.2","013.9","2428","Weather Station","allpress"
"12-06-22","18:00:01","19.8","41.7","0","827.16","29.55","15.75","13.3","013.9","2428","Weather Station","allpress"
"12-06-22","19:00:01","18.9","38.2","0","414.8","30.05","15","13.3","013.9","2428","Weather Station","allpress"
"12-06-22","20:00:01","17","46.7","0","178.12","24.05","14","13.3","013.4","2428","Weather Station","allpress"
"12-06-22","21:00:01","13.7","61.9","0","21.96","14.23","8.25","13.3","013.2","2428","Weather Station","allpress"
"12-06-22","22:00:01","13.4","67.6","0","0","11.75","9","13.2","013.1","2428","Weather Station","allpress"
"12-06-22","23:00:01","12.4","72","0","0","14.73","10","13.1","013.1","2428","Weather Station","allpress"
"13-06-22","00:00:01","11.9","74.7","0","0","15.98","9","13","013.1","2428","Weather Station","allpress"
"13-06-22","01:00:01","10.7","80.7","0","0","15.8","23.25","13","013.0","2428","Weather Station","allpress"
"13-06-22","02:00:01","10.3","85.7","0","0","8.73","7.5","12.9","013.0","2428","Weather Station","allpress"
"13-06-22","03:00:01","9","89.3","0","0","12.48","7.5","12.7","013.0","2428","Weather Station","allpress"
"13-06-22","04:00:01","8.4","94.6","0","0","11.05","10","12.6","012.9","2428","Weather Station","allpress"
"13-06-22","05:00:01","9","96.2","0","29.28","11.68","11.5","12.4","012.9","2428","Weather Station","allpress"
"13-06-22","06:00:01","9.7","95.8","0","375.76","8.1","12.5","12.4","013.3","2428","Weather Station","allpress"
"13-06-22","07:00:01","12","84.8","0","734.44","11.33","9","12.3","013.8","2428","Weather Station","allpress"
"13-06-22","08:00:01","14.1","73.6","0","1071.16","19.65","12.5","12.3","013.8","2428","Weather Station","allpress"
"13-06-22","09:00:01","14.1","69.3","0","312.32","19.65","21.5","12.3","013.8","2428","Weather Station","allpress"
"13-06-22","10:00:01","15.6","60.7","0","480.68","17.1","10.75","12.4","013.8","2428","Weather Station","allpress"
"13-06-22","11:00:01","15.7","55.7","0","832.04","16.83","10","12.4","013.8","2428","Weather Station","allpress"
"13-06-22","12:00:01","18","49.6","0","897.92","15.53","16.5","12.5","013.8","2428","Weather Station","allpress"
"13-06-22","13:00:01","17.3","48.9","0","814.96","19.7","27.5","12.6","013.9","2428","Weather Station","allpress"
"13-06-22","14:00:01","18.5","45.7","0","793","22.23","24","12.7","013.9","2428","Weather Station","allpress"
"13-06-22","15:00:01","17.9","53.1","0","805.2","15.05","10.75","12.9","013.9","2428","Weather Station","allpress"
"13-06-22","16:00:01","17.7","52.5","0","551.44","17.75","14","13","013.9","2428","Weather Station","allpress"
"13-06-22","17:00:01","17","56.9","0","370.88","18.7","10.75","13","013.9","2428","Weather Station","allpress"
"13-06-22","18:00:01","17.4","55.7","0","422.12","15.83","9","13.1","013.9","2428","Weather Station","allpress"
"13-06-22","19:00:01","18.6","52.3","0","441.64","10.05","6.5","13.2","013.9","2428","Weather Station","allpress"
"13-06-22","20:00:01","15.8","64.3","0","124.44","4.5","7.5","13.2","013.4","2428","Weather Station","allpress"
"13-06-22","21:00:01","15","67.3","0","14.64","0","0.75","13.2","013.2","2428","Weather Station","allpress"
"13-06-22","22:00:01","13.5","76","0","0","0","0","13.2","013.1","2428","Weather Station","allpress"
"13-06-22","23:00:01","10.9","88.5","0","0","0","0","13.1","013.1","2428","Weather Station","allpress"
"14-06-22","00:00:01","8.4","94.3","0","0","0","0","12.9","013.1","2428","Weather Station","allpress"
"14-06-22","01:00:01","8.9","97.9","0","0","0","0","12.6","013.0","2428","Weather Station","allpress"
"14-06-22","02:00:01","9.6","94.1","0","0","0","0","12.4","013.0","2428","Weather Station","allpress"
"14-06-22","03:00:01","10.2","93.4","0","0","0","0","12.2","013.0","2428","Weather Station","allpress"
"14-06-22","04:00:01","10.3","95.3","0","0","0","0","12","013.0","2428","Weather Station","allpress"
"14-06-22","05:00:01","10.7","93.1","0","14.64","0","0","12","012.9","2428","Weather Station","allpress"
"14-06-22","06:00:01","10.2","99.6","0","256.2","0","0","11.9","013.2","2428","Weather Station","allpress"
"14-06-22","07:00:01","13.2","84.7","0","331.84","0","0","11.9","013.8","2428","Weather Station","allpress"
"14-06-22","08:00:01","14.5","79.8","0","1100.44","0","0","11.9","013.8","2428","Weather Station","allpress"
"14-06-22","09:00:01","16.3","71.4","0","619.76","3.45","13.25","11.9","013.8","2428","Weather Station","allpress"
"14-06-22","10:00:01","19.2","64.6","0","1439.6","7.68","10","12","013.8","2428","Weather Station","allpress"
"14-06-22","11:00:01","21.3","57.9","0","1922.72","10.95","10","12.2","013.8","2428","Weather Station","allpress"
"14-06-22","12:00:01","20","47.8","0","575.84","16.55","17.5","12.4","013.8","2428","Weather Station","allpress"
"14-06-22","13:00:01","22.5","43","0","934.52","17.4","26.5","12.6","013.9","2428","Weather Station","allpress"
"14-06-22","14:00:01","20.6","44.1","0","600.24","16","21.5","12.9","013.9","2428","Weather Station","allpress"
"14-06-22","15:00:01","23.5","39.1","0","1617.72","15.1","20.75","13","013.9","2428","Weather Station","allpress"
"14-06-22","16:00:01","25.1","36.4","0","1351.76","15.73","18.25","13.3","013.9","2428","Weather Station","allpress"
"14-06-22","17:00:01","24.1","38","0","1024.8","12.5","21.5","13.5","013.9","2428","Weather Station","allpress"
"14-06-22","18:00:01","23.7","36.3","0","775.92","5.98","10","13.6","013.9","2428","Weather Station","allpress"
"14-06-22","19:00:01","20.8","48.9","0","263.52","12.45","11.5","13.7","013.9","2428","Weather Station","allpress"
"14-06-22","20:00:01","19.2","54.8","0","212.28","16.25","10","13.8","013.9","2428","Weather Station","allpress"
"14-06-22","21:00:01","16.9","62","0","43.92","10.8","7.5","13.8","013.3","2428","Weather Station","allpress"
"14-06-22","22:00:01","14.7","70.4","0","0","5.53","9","13.8","013.1","2428","Weather Station","allpress"
"14-06-22","23:00:01","13.4","74.6","0","0","11.55","10.75","13.6","013.1","2428","Weather Station","allpress"
"15-06-22","00:00:01","10.6","87.4","0","0","4.73","9","13.5","013.1","2428","Weather Station","allpress"
"15-06-22","01:00:01","9.5","92.5","0","0","2","5.75","13.3","013.0","2428","Weather Station","allpress"
"15-06-22","02:00:01","10.2","95.1","0","0","5.8","7.5","13","013.0","2428","Weather Station","allpress"
