,Local Date,Local Time,Air temp 1,rh,Rainfall (mm),sp5 Light,Windspeed Average mph,Windspeed Gust Max mph,Soil temp2,Bat Volt,Serial No.,Label,Name
0,12-08-24,23:00:01,20.8,85.8,0,0.0,1.7,4.0,17.4,13.0,2428,Weather Station,allpress
1,13-08-24,00:00:01,20.9,86.8,0,0.0,2.08,5.0,17.3,13.0,2428,Weather Station,allpress
2,13-08-24,01:00:01,19.2,82.8,0,0.0,2.9,4.0,17.1,13.0,2428,Weather Station,allpress
3,13-08-24,02:00:01,17.8,84.3,0,0.0,1.08,3.25,17.1,13.0,2428,Weather Station,allpress
4,13-08-24,03:00:01,16.8,91.5,0,0.0,0.45,2.5,17.1,13.0,2428,Weather Station,allpress
5,13-08-24,04:00:01,16.2,88.0,0,0.0,5.98,5.0,17.0,13.0,2428,Weather Station,allpress
6,13-08-24,05:00:01,15.3,87.0,0,0.0,10.1,7.5,16.9,12.9,2428,Weather Station,allpress
7,13-08-24,06:00:01,13.3,94.3,0,29.28,6.23,5.75,16.8,12.9,2428,Weather Station,allpress
8,13-08-24,07:00:01,13.5,96.3,0,146.4,2.23,5.0,16.7,13.0,2428,Weather Station,allpress
9,13-08-24,08:00:01,15.9,85.7,0,405.04,3.7,4.0,16.6,13.7,2428,Weather Station,allpress
10,13-08-24,09:00:01,18.2,75.6,0,795.44,6.75,5.0,16.5,13.8,2428,Weather Station,allpress
11,13-08-24,10:00:01,20.5,63.2,0,1039.44,10.9,6.5,16.4,13.8,2428,Weather Station,allpress
12,13-08-24,11:00:01,22.1,64.1,0,1241.96,14.73,10.0,16.4,13.9,2428,Weather Station,allpress
13,13-08-24,12:00:01,23.7,45.3,0,1315.16,18.05,9.0,16.4,13.9,2428,Weather Station,allpress
14,13-08-24,13:00:01,25.6,38.9,0,1622.6,19.73,10.0,16.5,13.9,2428,Weather Station,allpress
15,13-08-24,14:00:01,26.8,30.2,0,1586.0,20.05,12.5,16.6,13.9,2428,Weather Station,allpress
16,13-08-24,15:00:01,26.9,30.3,0,1454.24,18.3,11.5,16.6,13.9,2428,Weather Station,allpress
17,13-08-24,16:00:01,27.8,30.7,0,1249.28,18.08,11.5,16.7,13.9,2428,Weather Station,allpress
18,13-08-24,17:00:01,28.2,30.4,0,966.24,17.18,9.0,16.8,13.9,2428,Weather Station,allpress
19,13-08-24,18:00:01,27.1,29.7,0,612.44,18.18,10.75,16.8,13.9,2428,Weather Station,allpress
20,13-08-24,19:00:01,26.6,35.3,0,341.6,17.03,10.0,16.9,13.9,2428,Weather Station,allpress
21,13-08-24,20:00:01,23.9,44.5,0,12.2,12.28,8.25,16.9,13.2,2428,Weather Station,allpress
22,13-08-24,21:00:01,22.0,51.0,0,0.0,6.8,5.75,16.9,13.1,2428,Weather Station,allpress
23,13-08-24,22:00:01,21.2,52.9,0,0.0,5.18,6.5,16.9,13.0,2428,Weather Station,allpress
24,13-08-24,23:00:01,19.6,58.9,0,0.0,6.95,5.75,16.8,13.0,2428,Weather Station,allpress
25,14-08-24,00:00:01,18.0,65.0,0,0.0,3.33,5.0,16.8,13.0,2428,Weather Station,allpress
26,14-08-24,01:00:01,17.4,68.9,0,0.0,6.05,5.75,16.8,13.0,2428,Weather Station,allpress
27,14-08-24,02:00:01,14.8,80.3,0,0.0,5.03,5.0,16.7,13.0,2428,Weather Station,allpress
28,14-08-24,03:00:01,14.4,85.7,0,0.0,4.33,4.0,16.6,12.9,2428,Weather Station,allpress
29,14-08-24,04:00:01,14.9,86.3,0,0.0,6.5,4.0,16.4,12.9,2428,Weather Station,allpress
30,14-08-24,05:00:01,15.5,87.8,0,0.0,9.6,5.0,16.3,12.9,2428,Weather Station,allpress
31,14-08-24,06:00:01,15.2,92.1,0,12.2,9.28,5.75,16.3,12.9,2428,Weather Station,allpress
32,14-08-24,07:00:01,16.1,93.5,0,173.24,9.5,6.5,16.3,13.1,2428,Weather Station,allpress
33,14-08-24,08:00:01,17.3,87.5,0,165.92,15.18,9.0,16.2,13.4,2428,Weather Station,allpress
34,14-08-24,09:00:01,18.7,80.8,0,680.76,20.8,10.75,16.2,13.8,2428,Weather Station,allpress
35,14-08-24,10:00:01,18.6,76.7,0,636.84,25.35,11.5,16.2,13.8,2428,Weather Station,allpress
36,14-08-24,11:00:01,19.2,74.3,0,824.72,25.73,12.5,16.2,13.8,2428,Weather Station,allpress
37,14-08-24,12:00:01,21.4,68.0,0,1473.76,26.55,12.5,16.2,13.8,2428,Weather Station,allpress
38,14-08-24,13:00:01,20.9,61.7,0,488.0,21.75,13.25,16.3,13.9,2428,Weather Station,allpress
39,14-08-24,14:00:01,21.5,62.3,0,944.28,22.95,12.5,16.3,13.9,2428,Weather Station,allpress
40,14-08-24,15:00:01,22.6,60.2,0,861.32,18.3,10.75,16.5,13.9,2428,Weather Station,allpress
41,14-08-24,16:00:01,22.6,58.4,0,612.44,12.95,9.0,16.6,13.9,2428,Weather Station,allpress
42,14-08-24,17:00:01,22.1,63.1,0,436.76,13.7,8.25,16.6,13.9,2428,Weather Station,allpress
43,14-08-24,18:00:01,22.8,62.3,0,622.2,11.68,6.5,16.7,13.9,2428,Weather Station,allpress
44,14-08-24,19:00:01,23.1,56.8,0,122.0,2.08,5.0,16.8,13.7,2428,Weather Station,allpress
45,14-08-24,20:00:01,21.2,68.2,0,34.16,0.8,3.25,16.8,13.2,2428,Weather Station,allpress
46,14-08-24,21:00:01,20.0,75.2,0,0.0,0.0,0.0,16.8,13.1,2428,Weather Station,allpress
47,14-08-24,22:00:01,18.5,83.4,0,0.0,0.0,0.0,16.8,13.0,2428,Weather Station,allpress
48,14-08-24,23:00:01,18.0,87.3,0,0.0,0.0,0.0,16.8,13.0,2428,Weather Station,allpress
49,15-08-24,00:00:01,17.4,91.9,0,0.0,0.0,0.0,16.7,13.0,2428,Weather Station,allpress
50,15-08-24,01:00:01,17.4,95.8,0,0.0,1.78,6.5,16.7,13.0,2428,Weather Station,allpress
51,15-08-24,02:00:01,16.5,94.8,0,0.0,5.9,6.5,16.6,13.0,2428,Weather Station,allpress
52,15-08-24,03:00:01,14.3,98.5,0,0.0,3.0,5.0,16.6,13.0,2428,Weather Station,allpress
53,15-08-24,04:00:01,13.2,100.0,0,0.0,0.08,2.5,16.5,12.9,2428,Weather Station,allpress
54,15-08-24,05:00:01,12.3,100.0,0,0.0,0.35,3.25,16.4,12.9,2428,Weather Station,allpress
55,15-08-24,06:00:01,13.0,100.0,0,36.6,1.4,4.0,16.3,12.9,2428,Weather Station,allpress
56,15-08-24,07:00:01,13.6,100.0,0,173.24,5.55,6.5,16.2,13.1,2428,Weather Station,allpress
57,15-08-24,08:00:01,14.5,93.9,0,265.96,11.7,9.0,16.1,13.8,2428,Weather Station,allpress
58,15-08-24,09:00:01,16.4,86.8,0,736.88,15.03,10.75,16.1,13.8,2428,Weather Station,allpress
59,15-08-24,10:00:01,19.2,62.3,0,1188.28,30.18,18.25,16.0,13.8,2428,Weather Station,allpress
60,15-08-24,11:00:01,20.7,56.7,0,1276.12,32.33,16.5,16.0,13.8,2428,Weather Station,allpress
61,15-08-24,12:00:01,21.5,58.6,0,675.88,31.45,16.5,16.0,13.9,2428,Weather Station,allpress
62,15-08-24,13:00:01,21.9,62.8,0,639.28,35.65,21.5,16.1,13.9,2428,Weather Station,allpress
63,15-08-24,14:00:01,22.8,62.8,0,663.68,36.85,20.0,16.2,13.9,2428,Weather Station,allpress
64,15-08-24,15:00:01,24.8,55.9,0,1488.4,38.33,21.5,16.3,13.9,2428,Weather Station,allpress
65,15-08-24,16:00:01,24.0,58.5,0,753.96,37.58,20.75,16.3,13.9,2428,Weather Station,allpress
66,15-08-24,17:00:01,23.3,61.9,0,270.84,33.23,18.25,16.5,13.9,2428,Weather Station,allpress
67,15-08-24,18:00:01,23.2,63.5,0,195.2,28.65,15.75,16.5,13.9,2428,Weather Station,allpress
68,15-08-24,19:00:01,20.5,82.5,0,56.12,26.9,17.5,16.6,13.3,2428,Weather Station,allpress
69,15-08-24,20:00:01,19.4,88.4,0,0.0,25.05,17.5,16.6,13.1,2428,Weather Station,allpress
70,15-08-24,21:00:01,18.9,95.3,0,0.0,12.68,11.5,16.7,13.0,2428,Weather Station,allpress
71,15-08-24,22:00:01,18.3,100.0,1,0.0,14.2,9.0,16.7,13.0,2428,Weather Station,allpress
72,15-08-24,23:00:01,18.4,100.0,0,0.0,11.55,9.0,16.7,13.0,2428,Weather Station,allpress
73,16-08-24,00:00:01,18.4,100.0,0,0.0,12.08,7.5,16.7,13.0,2428,Weather Station,allpress
74,16-08-24,01:00:01,18.3,100.0,0,0.0,11.05,8.25,16.7,13.0,2428,Weather Station,allpress
75,16-08-24,02:00:01,15.4,100.0,1,0.0,22.78,17.5,16.6,13.0,2428,Weather Station,allpress
76,16-08-24,03:00:01,14.6,99.2,0,0.0,20.85,10.75,16.6,12.9,2428,Weather Station,allpress
77,16-08-24,04:00:01,14.1,98.4,0,0.0,18.65,10.75,16.5,12.9,2428,Weather Station,allpress
78,16-08-24,05:00:01,13.8,96.2,0,0.0,17.8,10.0,16.5,12.9,2428,Weather Station,allpress
79,16-08-24,06:00:01,13.1,98.5,0,14.64,19.73,10.0,16.3,12.9,2428,Weather Station,allpress
80,16-08-24,07:00:01,12.8,97.4,0,124.44,14.68,7.5,16.3,13.0,2428,Weather Station,allpress
81,16-08-24,08:00:01,13.1,96.4,0,319.64,16.7,9.0,16.2,13.4,2428,Weather Station,allpress
82,16-08-24,09:00:01,15.5,85.3,0,827.16,13.7,7.5,16.2,13.8,2428,Weather Station,allpress
83,16-08-24,10:00:01,17.6,64.7,0,1115.08,12.65,9.0,16.1,13.8,2428,Weather Station,allpress
84,16-08-24,11:00:01,18.6,57.0,0,1473.76,11.48,9.0,16.1,13.8,2428,Weather Station,allpress
85,16-08-24,12:00:01,20.3,48.2,0,1517.68,10.45,10.75,16.1,13.8,2428,Weather Station,allpress
86,16-08-24,13:00:01,21.2,43.7,0,1573.8,10.03,8.25,16.1,13.9,2428,Weather Station,allpress
87,16-08-24,14:00:01,22.6,41.7,0,1556.72,10.8,7.5,16.1,13.9,2428,Weather Station,allpress
88,16-08-24,15:00:01,22.6,39.5,0,1439.6,13.45,8.25,16.2,13.9,2428,Weather Station,allpress
89,16-08-24,16:00:01,23.4,35.7,0,1241.96,10.05,7.5,16.3,13.9,2428,Weather Station,allpress
90,16-08-24,17:00:01,24.2,35.3,0,958.92,11.58,8.25,16.3,13.9,2428,Weather Station,allpress
91,16-08-24,18:00:01,22.9,35.1,0,236.68,8.8,8.25,16.4,13.9,2428,Weather Station,allpress
