"Local Date","Local Time","Air temp 1","rh","Rainfall (mm)","sp5 Light","Windspeed Average mph","Windspeed Gust Max mph","Soil temp2","Bat Volt","Serial No.","Label","Name"
"12-02-23","21:00:01","6.2","98","0","0","7.15","8.25","4.9","012.8","2428","Weather Station","allpress"
"12-02-23","22:00:01","6.1","97.9","0","0","12.18","6.5","5","012.8","2428","Weather Station","allpress"
"12-02-23","23:00:01","6","95","0","0","11.58","9","5","012.8","2428","Weather Station","allpress"
"13-02-23","00:00:01","5.9","90.4","0","0","13.83","9","5","012.8","2428","Weather Station","allpress"
"13-02-23","01:00:01","5.6","92.5","0","0","15.3","15.75","5","012.8","2428","Weather Station","allpress"
"13-02-23","02:00:01","5.2","91","0","0","13.2","10","5","012.8","2428","Weather Station","allpress"
"13-02-23","03:00:01","5","89","0","0","15.43","15","4.9","012.8","2428","Weather Station","allpress"
"13-02-23","04:00:01","4.8","88.7","0","0","14.53","14","4.9","012.8","2428","Weather Station","allpress"
"13-02-23","05:00:01","4.3","90","0","0","15.73","15","4.9","012.8","2428","Weather Station","allpress"
"13-02-23","06:00:01","4.1","93.2","0","0","11.93","15.75","4.8","012.8","2428","Weather Station","allpress"
"13-02-23","07:00:01","3.8","94.5","0","0","10.23","19","4.8","012.8","2428","Weather Station","allpress"
"13-02-23","08:00:01","3.9","94.7","0","34.16","10.4","18.25","4.8","012.8","2428","Weather Station","allpress"
"13-02-23","09:00:01","4.9","91.3","0","129.32","7.48","7.5","4.8","012.9","2428","Weather Station","allpress"
"13-02-23","10:00:01","5.6","87.1","0","287.92","15.75","10.75","4.8","013.4","2428","Weather Station","allpress"
"13-02-23","11:00:01","7.2","80.4","0","551.44","17.35","10.75","4.8","013.7","2428","Weather Station","allpress"
"13-02-23","12:00:01","8.4","76.9","0","517.28","16","20","4.8","013.8","2428","Weather Station","allpress"
"13-02-23","13:00:01","9.6","72.1","0","451.4","17.98","9","4.9","013.8","2428","Weather Station","allpress"
"13-02-23","14:00:01","10.2","70.6","0","363.56","20.05","15","5.1","013.8","2428","Weather Station","allpress"
"13-02-23","15:00:01","10.6","69.6","0","239.12","20.93","10.75","5.2","013.8","2428","Weather Station","allpress"
"13-02-23","16:00:01","10","74.6","0","129.32","17.6","10","5.2","013.4","2428","Weather Station","allpress"
"13-02-23","17:00:01","7.2","85.8","0","17.08","11.25","7.5","5.3","013.2","2428","Weather Station","allpress"
"13-02-23","18:00:01","5.2","95.2","0","0","12.8","14","5.4","013.1","2428","Weather Station","allpress"
"13-02-23","19:00:01","3.7","99.2","0","0","13.48","11.5","5.3","013.1","2428","Weather Station","allpress"
"13-02-23","20:00:01","2.1","100","0","0","4.48","6.5","5.3","013.1","2428","Weather Station","allpress"
"13-02-23","21:00:01","1.7","100","0","0","8.78","12.5","5.2","013.0","2428","Weather Station","allpress"
"13-02-23","22:00:01","1.2","100","0","0","1.23","7.5","5.1","013.0","2428","Weather Station","allpress"
"13-02-23","23:00:01","0.5","100","0","0","1.15","3.25","4.9","013.0","2428","Weather Station","allpress"
"14-02-23","00:00:01","-0.6","100","0","0","2.2","10.75","4.7","013.0","2428","Weather Station","allpress"
"14-02-23","01:00:01","-2.2","100","0","0","0.53","5","4.4","012.9","2428","Weather Station","allpress"
"14-02-23","02:00:01","-3.6","100","0","0","0","0","4.4","012.9","2428","Weather Station","allpress"
"14-02-23","03:00:01","-2.5","100","0","0","0.8","4","4.2","012.9","2428","Weather Station","allpress"
"14-02-23","04:00:01","-3.1","100","0","0","1.28","3.25","4.1","012.9","2428","Weather Station","allpress"
"14-02-23","05:00:01","-2.7","100","0","0","0.9","3.25","3.9","012.9","2428","Weather Station","allpress"
