,Local Date,Local Time,Air temp 1,rh,Rainfall (mm),sp5 Light,Windspeed Average mph,Windspeed Gust Max mph,Soil temp2,Bat Volt,Serial No.,Label,Name
0,18-09-24,09:00:01,15.7,89.3,0,187.88,24.43,12.5,12.9,13.2,2428,Weather Station,allpress
1,18-09-24,10:00:01,16.5,86.9,0,270.84,23.78,11.5,13.0,13.6,2428,Weather Station,allpress
2,18-09-24,11:00:02,17.7,81.4,0,444.08,23.25,11.5,13.0,13.8,2428,Weather Station,allpress
3,18-09-24,12:00:01,19.0,72.6,0,451.4,29.95,14.0,13.0,13.8,2428,Weather Station,allpress
4,18-09-24,13:00:01,21.4,63.5,0,1234.64,29.9,14.0,13.1,13.8,2428,Weather Station,allpress
5,18-09-24,14:00:01,22.2,61.7,0,1205.36,31.33,15.75,13.3,13.8,2428,Weather Station,allpress
6,18-09-24,15:00:01,22.5,58.5,0,1022.36,32.9,19.0,13.5,13.9,2428,Weather Station,allpress
7,18-09-24,16:00:01,21.7,61.9,0,795.44,32.83,15.0,13.5,13.9,2428,Weather Station,allpress
8,18-09-24,17:00:01,20.5,68.1,0,531.92,34.85,15.0,13.7,13.9,2428,Weather Station,allpress
9,18-09-24,18:00:01,18.3,75.7,0,219.6,33.4,16.5,13.8,13.9,2428,Weather Station,allpress
10,18-09-24,19:00:01,16.0,86.8,0,17.08,28.83,14.0,13.9,13.3,2428,Weather Station,allpress
11,18-09-24,20:00:01,14.7,93.9,0,0.0,23.33,12.5,13.9,13.1,2428,Weather Station,allpress
12,18-09-24,21:00:01,14.1,98.2,0,0.0,19.28,10.0,13.9,13.1,2428,Weather Station,allpress
13,18-09-24,22:00:01,13.5,100.0,0,0.0,16.15,9.0,13.9,13.0,2428,Weather Station,allpress
14,18-09-24,23:00:01,13.1,100.0,0,0.0,13.98,6.5,13.8,13.0,2428,Weather Station,allpress
15,19-09-24,00:00:01,12.5,100.0,0,0.0,13.4,6.5,13.8,13.0,2428,Weather Station,allpress
16,19-09-24,01:00:01,12.3,100.0,0,0.0,12.0,5.75,13.7,13.0,2428,Weather Station,allpress
17,19-09-24,02:00:01,12.1,100.0,0,0.0,10.3,5.75,13.6,13.0,2428,Weather Station,allpress
18,19-09-24,03:00:01,13.7,100.0,0,0.0,11.05,8.25,13.6,13.0,2428,Weather Station,allpress
19,19-09-24,04:00:01,14.4,100.0,0,0.0,17.95,9.0,13.5,13.0,2428,Weather Station,allpress
20,19-09-24,05:00:01,14.7,100.0,0,0.0,18.93,9.0,13.5,13.0,2428,Weather Station,allpress
21,19-09-24,06:00:01,15.0,100.0,0,0.0,16.78,8.25,13.5,12.9,2428,Weather Station,allpress
22,19-09-24,07:00:01,15.3,100.0,0,7.32,19.58,10.0,13.5,12.9,2428,Weather Station,allpress
23,19-09-24,08:00:01,15.8,100.0,0,97.6,20.1,10.0,13.6,12.9,2428,Weather Station,allpress
24,19-09-24,09:00:01,16.5,97.1,0,183.0,23.95,14.0,13.6,13.2,2428,Weather Station,allpress
25,19-09-24,10:00:01,17.4,91.3,0,412.36,30.53,14.0,13.7,13.7,2428,Weather Station,allpress
26,19-09-24,11:00:01,19.1,84.0,0,846.68,31.48,15.0,13.7,13.8,2428,Weather Station,allpress
27,19-09-24,12:00:01,19.8,74.6,0,988.2,33.1,16.5,13.8,13.8,2428,Weather Station,allpress
28,19-09-24,13:00:01,21.7,70.7,0,1193.16,31.75,15.75,13.9,13.8,2428,Weather Station,allpress
29,19-09-24,14:00:01,21.2,68.0,0,675.88,34.35,15.75,14.1,13.9,2428,Weather Station,allpress
30,19-09-24,15:00:01,21.5,68.9,0,1019.92,35.73,15.75,14.1,13.9,2428,Weather Station,allpress
31,19-09-24,16:00:01,20.5,70.7,0,763.72,36.68,16.5,14.3,13.9,2428,Weather Station,allpress
32,19-09-24,17:00:01,19.1,75.4,0,468.48,36.05,17.5,14.4,13.9,2428,Weather Station,allpress
33,19-09-24,18:00:01,16.9,83.0,0,151.28,32.18,15.75,14.4,13.8,2428,Weather Station,allpress
34,19-09-24,19:00:01,15.0,93.4,0,7.32,29.25,14.0,14.5,13.2,2428,Weather Station,allpress
35,19-09-24,20:00:01,14.8,95.1,0,0.0,25.55,13.25,14.5,13.1,2428,Weather Station,allpress
