"Local Date","Local Time","Air temp 1","rh","Rainfall (mm)","sp5 Light","Windspeed Average mph","Windspeed Gust Max mph","Soil temp2","Bat Volt","Serial No.","Label","Name"
"29-09-22","18:00:01","14.4","63.7","0","58.56","12.53","14","11.3","013.3","2428","Weather Station","allpress"
"29-09-22","19:00:01","13","75.7","0","0","8.05","15","11.3","013.2","2428","Weather Station","allpress"
"29-09-22","20:00:01","12.4","86.8","0","0","9.78","17.5","11.4","013.1","2428","Weather Station","allpress"
"29-09-22","21:00:01","10.4","95.3","0","0","1","4","11.4","013.1","2428","Weather Station","allpress"
"29-09-22","22:00:01","10.8","100","0","0","3.53","14","11.4","013.1","2428","Weather Station","allpress"
"29-09-22","23:00:01","10.4","100","0","0","10.68","17.5","11.4","013.1","2428","Weather Station","allpress"
"30-09-22","00:00:01","8","100","0","0","1.43","6.5","11.4","013.1","2428","Weather Station","allpress"
"30-09-22","01:00:01","7.9","100","0","0","0.25","4","11.4","013.1","2428","Weather Station","allpress"
"30-09-22","02:00:01","6.8","100","0","0","12.65","8.25","11.3","013.0","2428","Weather Station","allpress"
"30-09-22","03:00:01","5.9","100","0","0","6.43","12.5","11.2","013.0","2428","Weather Station","allpress"
"30-09-22","04:00:01","5.1","100","0","0","7.55","15","11.1","013.0","2428","Weather Station","allpress"
"30-09-22","05:00:01","4.7","100","0","0","0.35","4","10.9","012.9","2428","Weather Station","allpress"
"30-09-22","06:00:01","4.7","100","0","0","0","0","10.8","012.9","2428","Weather Station","allpress"
"30-09-22","07:00:01","5.3","100","0","4.88","0.1","4","10.8","012.8","2428","Weather Station","allpress"
"30-09-22","08:00:01","6.5","100","0","97.6","1","4","10.7","013.0","2428","Weather Station","allpress"
"30-09-22","09:00:01","7.8","100","0","236.68","2.58","4","10.7","013.7","2428","Weather Station","allpress"
"30-09-22","10:00:01","9","100","0","326.96","9.95","9","10.7","013.8","2428","Weather Station","allpress"
"30-09-22","11:00:01","9.6","100","0","309.88","12.98","10","10.8","013.8","2428","Weather Station","allpress"
"30-09-22","12:00:01","11.9","100","0","522.16","14.75","10.75","10.8","013.8","2428","Weather Station","allpress"
"30-09-22","13:00:01","13.9","88.2","0","529.48","19.9","17.5","10.8","013.8","2428","Weather Station","allpress"
"30-09-22","14:00:01","14.6","75.2","0","275.72","34.08","23.25","11","013.8","2428","Weather Station","allpress"
"30-09-22","15:00:01","14.8","75.4","0","141.52","28.65","30.75","11.1","013.6","2428","Weather Station","allpress"
"30-09-22","16:00:01","12.9","88.2","1","78.08","26.83","22.5","11.2","013.3","2428","Weather Station","allpress"
"30-09-22","17:00:01","11.9","98.5","2","36.6","26.33","30","11.3","013.2","2428","Weather Station","allpress"
"30-09-22","18:00:01","11.3","100","3","9.76","34.23","28.25","11.3","013.1","2428","Weather Station","allpress"
"30-09-22","19:00:01","11.8","100","1","0","35.25","29","11.3","013.1","2428","Weather Station","allpress"
"30-09-22","20:00:01","12.1","100","1","0","33.53","25","11.4","013.1","2428","Weather Station","allpress"
"30-09-22","21:00:01","12.5","100","1","0","28.28","22.5","11.4","013.1","2428","Weather Station","allpress"
"30-09-22","22:00:01","13.2","100","0","0","21.75","19","11.5","013.1","2428","Weather Station","allpress"
"30-09-22","23:00:01","13","100","0","0","10.48","10","11.6","013.0","2428","Weather Station","allpress"
"01-10-22","00:00:01","12.3","100","0","0","14.08","19","11.6","013.0","2428","Weather Station","allpress"
"01-10-22","01:00:01","12.2","100","0","0","18.05","20.75","11.7","012.9","2428","Weather Station","allpress"
"01-10-22","02:00:01","12.1","100","0","0","10.33","14","11.7","012.9","2428","Weather Station","allpress"
